id,gene_id,hypothesis_id,relation_type,polarity,evidence_for_count,evidence_against_count,evidence_strength_aggregate,context_scope,status,created_at,last_updated,rationale
PGHE-00117,GEN-0186,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00118,GEN-0192,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00119,GEN-0194,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 1 ASD risk gene (SFARI Gene database)
PGHE-00120,GEN-0195,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00121,GEN-0196,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00122,GEN-0198,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00123,GEN-0200,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00124,GEN-0204,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00125,GEN-0211,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00126,GEN-0212,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00127,GEN-0213,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00128,GEN-0214,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
PGHE-00129,GEN-0216,HYP-0028,risk_factor_for,supporting,,,0.0,,proposed,2026-04-28T03:26:16+00:00,2026-04-28T03:26:16+00:00,SFARI score 2 ASD risk gene (SFARI Gene database)
